秒换台465.94,#genre#
CHC动作电影,http://112.235.201.189:9901/tsfile/live/1011_1.m3u8
CCTV2,http://112.235.201.189:9901/tsfile/live/0002_1.m3u8
CCTV3,http://112.235.201.189:9901/tsfile/live/0003_1.m3u8
CCTV4,http://112.235.201.189:9901/tsfile/live/0004_1.m3u8
CCTV5,http://112.235.201.189:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://112.235.201.189:9901/tsfile/live/1000_1.m3u8
CCTV6,http://112.235.201.189:9901/tsfile/live/0006_1.m3u8
CCTV7,http://112.235.201.189:9901/tsfile/live/0007_1.m3u8
CCTV8,http://112.235.201.189:9901/tsfile/live/0008_1.m3u8
CCTV9,http://112.235.201.189:9901/tsfile/live/0009_1.m3u8
CCTV10,http://112.235.201.189:9901/tsfile/live/0010_1.m3u8
CCTV11,http://112.235.201.189:9901/tsfile/live/0012_1.m3u8
CCTV12,http://112.235.201.189:9901/tsfile/live/0012_2.m3u8
CCTV13,http://112.235.201.189:9901/tsfile/live/0014_1.m3u8
CCTV14,http://112.235.201.189:9901/tsfile/live/0015_1.m3u8
CCTV15,http://112.235.201.189:9901/tsfile/live/0015_2.m3u8
CCTV17,http://112.235.201.189:9901/tsfile/live/0019_1.m3u8
天津卫视,http://112.235.201.189:9901/tsfile/live/0135_1.m3u8
秒换台635.36,#genre#
CHC动作电影,http://112.235.201.61:9901/tsfile/live/1011_1.m3u8
CCTV1,http://112.235.201.61:9901/tsfile/live/0001_1.m3u8
CCTV2,http://112.235.201.61:9901/tsfile/live/0002_1.m3u8
CCTV3,http://112.235.201.61:9901/tsfile/live/0003_1.m3u8
CCTV4,http://112.235.201.61:9901/tsfile/live/0004_1.m3u8
CCTV5,http://112.235.201.61:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://112.235.201.61:9901/tsfile/live/1000_1.m3u8
CCTV6,http://112.235.201.61:9901/tsfile/live/0006_1.m3u8
CCTV7,http://112.235.201.61:9901/tsfile/live/0007_1.m3u8
CCTV8,http://112.235.201.61:9901/tsfile/live/0008_1.m3u8
CCTV9,http://112.235.201.61:9901/tsfile/live/0009_1.m3u8
CCTV10,http://112.235.201.61:9901/tsfile/live/0010_1.m3u8
CCTV11,http://112.235.201.61:9901/tsfile/live/0012_1.m3u8
CCTV12,http://112.235.201.61:9901/tsfile/live/0012_2.m3u8
CCTV13,http://112.235.201.61:9901/tsfile/live/0014_1.m3u8
CCTV14,http://112.235.201.61:9901/tsfile/live/0015_1.m3u8
CCTV15,http://112.235.201.61:9901/tsfile/live/0015_2.m3u8
CCTV17,http://112.235.201.61:9901/tsfile/live/0019_1.m3u8
天津卫视,http://112.235.201.61:9901/tsfile/live/0135_1.m3u8
秒换台1396.85,#genre#
CCTV1,http://118.248.172.59:8088/tsfile/live/0001_1.m3u8
CCTV3,http://118.248.172.59:8088/tsfile/live/0003_1.m3u8
CCTV4,http://118.248.172.59:8088/tsfile/live/0004_1.m3u8
CCTV5,http://118.248.172.59:8088/tsfile/live/0005_1.m3u8
CCTV6,http://118.248.172.59:8088/tsfile/live/0006_1.m3u8
CCTV8,http://118.248.172.59:8088/tsfile/live/0008_1.m3u8
CCTV9,http://118.248.172.59:8088/tsfile/live/0009_1.m3u8
CCTV10,http://118.248.172.59:8088/tsfile/live/0010_1.m3u8
CCTV11,http://118.248.172.59:8088/tsfile/live/0011_1.m3u8
CCTV12,http://118.248.172.59:8088/tsfile/live/0012_1.m3u8
CCTV13,http://118.248.172.59:8088/tsfile/live/0013_1.m3u8
CCTV14,http://118.248.172.59:8088/tsfile/live/0014_1.m3u8
CCTV15,http://118.248.172.59:8088/tsfile/live/0015_1.m3u8
北京卫视,http://118.248.172.59:8088/tsfile/live/0135_1.m3u8
东南卫视,http://118.248.172.59:8088/tsfile/live/0113_1.m3u8
IPTV体育,http://118.248.172.59:8088/tsfile/live/0131_2.m3u8
上海卫视,http://118.248.172.59:8088/tsfile/live/0121_1.m3u8
秒换台698.24,#genre#
CCTV2,http://124.228.160.94:9901/tsfile/live/0018_1.m3u8
CCTV4,http://124.228.160.94:9901/tsfile/live/0004_1.m3u8
CCTV5,http://124.228.160.94:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://124.228.160.94:9901/tsfile/live/0016_1.m3u8
CCTV6,http://124.228.160.94:9901/tsfile/live/0006_1.m3u8
CCTV7,http://124.228.160.94:9901/tsfile/live/0007_1.m3u8
CCTV8,http://124.228.160.94:9901/tsfile/live/0008_1.m3u8
CCTV9,http://124.228.160.94:9901/tsfile/live/0009_1.m3u8
CCTV11,http://124.228.160.94:9901/tsfile/live/0011_2.m3u8
CCTV12,http://124.228.160.94:9901/tsfile/live/0012_2.m3u8
CCTV13,http://124.228.160.94:9901/tsfile/live/0013_1.m3u8
CCTV14,http://124.228.160.94:9901/tsfile/live/0014_1.m3u8
CCTV15,http://124.228.160.94:9901/tsfile/live/0015_1.m3u8
北京卫视,http://124.228.160.94:9901/tsfile/live/0122_1.m3u8
东南卫视,http://124.228.160.94:9901/tsfile/live/0137_1.m3u8
四川卫视,http://124.228.160.94:9901/tsfile/live/0123_1.m3u8
云南卫视,http://124.228.160.94:9901/tsfile/live/0119_1.m3u8
上海卫视,http://124.228.160.94:9901/tsfile/live/1005_1.m3u8
秒换台1565.66,#genre#
CHC动作电影,http://119.125.104.222:9901/tsfile/live/1048_1.m3u8
CHC电影,http://119.125.104.222:9901/tsfile/live/1049_1.m3u8
CCTV1,http://119.125.104.222:9901/tsfile/live/1020_1.m3u8
CCTV2,http://119.125.104.222:9901/tsfile/live/1021_1.m3u8
CCTV3,http://119.125.104.222:9901/tsfile/live/1022_1.m3u8
CCTV4,http://119.125.104.222:9901/tsfile/live/1023_1.m3u8
CCTV5,http://119.125.104.222:9901/tsfile/live/1024_1.m3u8
CCTV5,http://119.125.104.222:9901/tsfile/live/1118_1.m3u8
CCTV5+,http://119.125.104.222:9901/tsfile/live/1025_1.m3u8
CCTV6,http://119.125.104.222:9901/tsfile/live/1026_1.m3u8
CCTV7,http://119.125.104.222:9901/tsfile/live/1027_1.m3u8
CCTV8,http://119.125.104.222:9901/tsfile/live/1028_1.m3u8
CCTV9,http://119.125.104.222:9901/tsfile/live/1029_1.m3u8
CCTV10,http://119.125.104.222:9901/tsfile/live/1030_1.m3u8
CCTV11,http://119.125.104.222:9901/tsfile/live/1031_1.m3u8
CCTV12,http://119.125.104.222:9901/tsfile/live/1032_1.m3u8
